doc_id,text,expected_topic,expected_risk,predicted_topic,predicted_risk,topic_match,risk_match
D-1001,Refund request says package arrived damaged and support has not replied for five days,Customer Support,Medium,Customer Support,Medium,True,True
D-1002,Quarterly finance note mentions revenue variance and delayed vendor invoices,Finance,Low,Finance,Medium,True,False
D-1003,Security review found exposed test token in a staging configuration,Security,High,Security,High,True,True
D-1004,Product feedback asks for saved filters and clearer export options,Product Feedback,Low,Product Feedback,Low,True,True
D-1005,Customer reports account access issue after login reset loop,Customer Support,High,Customer Support,High,True,True
D-1006,Finance team asks whether monthly close checklist was approved,Finance,Medium,Finance,Medium,True,True
D-1007,Internal note says dependency update fixes critical auth vulnerability,Security,High,Security,High,True,True
D-1008,User interview mentions confusing onboarding copy and missing empty state,Product Feedback,Low,Product Feedback,Low,True,True
D-1009,Support escalation says billing email was sent to the wrong account owner,Customer Support,Medium,Customer Support,Medium,True,True
D-1010,Security note confirms no customer data was accessed during test failure,Security,Medium,Security,Medium,True,True
